timestamp_ns,sensor_id,source,client,user_agent,kind,payload,result,error
1777836351824755028,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351834755607,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351844748777,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777836351854759152,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351864768434,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351874750475,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777836351884748646,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351894765428,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351904759728,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777836351914758140,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351924814052,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351934764444,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777836351944765485,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351954772953,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351965009366,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351974830498,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777836351984810817,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351994822544,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836352004767103,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777836352014772514,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836352024800111,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836352034781152,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777836352044787823,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836352054796031,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836352064763794,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777836352074808410,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836352084756432,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777836352094756844,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836352104755274,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777836352114734389,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836352124846745,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836352134814286,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777836352144808513,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
