timestamp_ns,activated,going_to_position,status,object_status,fault,position_request_echo,position,current_raw,current_a,link_up,timestamp_ns
1777872437467114894,true,false,3,0,0,0,3,0,0.0,true,1777872437453375838
1777872437567115093,true,false,3,0,0,0,3,0,0.0,true,1777872437552570072
1777872437667121791,true,false,3,0,0,0,3,0,0.0,true,1777872437653378179
1777872437767133249,true,false,3,0,0,0,3,0,0.0,true,1777872437753385285
1777872437867115669,true,false,3,0,0,0,3,0,0.0,true,1777872437852861815
1777872437967126404,true,false,3,0,0,0,3,0,0.0,true,1777872437952609883
1777872438067117288,true,false,3,0,0,0,3,0,0.0,true,1777872438053422732
1777872438167116486,true,false,3,0,0,0,3,0,0.0,true,1777872438153390115
1777872438267128536,true,false,3,0,0,0,3,0,0.0,true,1777872438252392181
1777872438367129235,true,false,3,0,0,0,3,0,0.0,true,1777872438353391438
1777872438467133155,true,false,3,0,0,0,3,0,0.0,true,1777872438453401618
1777872438567122039,true,false,3,0,0,0,3,0,0.0,true,1777872438552394554
1777872438667136904,true,false,3,0,0,0,3,0,0.0,true,1777872438653395829
1777872438767184639,true,false,3,0,0,0,3,0,0.0,true,1777872438753670843
1777872438867128745,true,false,3,0,0,0,3,0,0.0,true,1777872438853445837
1777872438967134091,true,false,3,0,0,0,3,0,0.0,true,1777872438953194738
1777872439067121974,true,false,3,0,0,0,3,0,0.0,true,1777872439053947846
1777872439167120080,true,false,3,0,0,0,3,0,0.0,true,1777872439153398395
1777872439267138130,true,false,3,0,0,0,3,0,0.0,true,1777872439252475183
1777872439367135255,true,false,3,0,0,0,3,0,0.0,true,1777872439353400717
1777872439467138286,true,false,3,0,0,0,3,0,0.0,true,1777872439453409434
1777872439567141188,true,false,3,0,0,0,3,0,0.0,true,1777872439552750556
1777872439667134275,true,false,3,0,0,0,3,0,0.0,true,1777872439652513106
1777872439767153918,true,false,3,0,0,0,3,0,0.0,true,1777872439753429547
1777872439867147746,true,false,3,0,0,0,3,0,0.0,true,1777872439853416931
1777872439967128611,true,false,3,0,0,0,3,0,0.0,true,1777872439952814609
1777872440067140180,true,false,3,0,0,0,3,0,0.0,true,1777872440053412939
1777872440167140545,true,false,3,0,0,0,3,0,0.0,true,1777872440153419507
1777872440267136817,true,false,3,0,0,0,3,0,0.0,true,1777872440252418129
1777872440367206904,true,false,3,0,0,0,3,0,0.0,true,1777872440352419123
1777872440467143862,true,false,3,0,0,0,3,0,0.0,true,1777872440453418880
1777872440567131356,true,false,3,0,0,0,3,0,0.0,true,1777872440553419856
1777872440667154684,true,false,3,0,0,0,3,0,0.0,true,1777872440653113442
1777872440767142957,true,false,3,0,0,0,3,0,0.0,true,1777872440753869735
1777872440867152544,true,false,3,0,0,0,3,0,0.0,true,1777872440853632526
1777872440967150724,true,false,3,0,0,0,3,0,0.0,true,1777872440953389260
1777872441067144866,true,false,3,0,0,0,3,0,0.0,true,1777872441053298162
1777872441167159398,true,false,3,0,0,0,3,0,0.0,true,1777872441153308786
1777872441267142485,true,false,3,0,0,0,3,0,0.0,true,1777872441252681612
1777872441367162202,true,false,3,0,0,0,3,0,0.0,true,1777872441352439088
1777872441467159548,true,false,3,0,0,0,3,0,0.0,true,1777872441453307640
1777872441567153617,true,false,3,0,0,0,3,0,0.0,true,1777872441553308690
1777872441667149926,true,false,3,0,0,0,3,0,0.0,true,1777872441652729443
1777872441767157403,true,false,3,0,0,0,3,0,0.0,true,1777872441753311680
1777872441867165249,true,false,3,0,0,0,3,0,0.0,true,1777872441853439878
1777872441967221410,true,false,3,0,0,0,3,0,0.0,true,1777872441952314870
1777872442067169534,true,false,3,0,0,0,3,0,0.0,true,1777872442052759421
1777872442167175770,true,false,3,0,0,0,3,0,0.0,true,1777872442153508122
1777872442267168783,true,false,3,0,0,0,3,0,0.0,true,1777872442253321301
1777872442367170574,true,false,3,0,0,0,3,0,0.0,true,1777872442353321758
1777872442467168031,true,false,3,0,0,0,3,0,0.0,true,1777872442453802791
1777872442567161767,true,false,3,0,0,0,3,0,0.0,true,1777872442553560230
1777872442667173595,true,false,3,0,0,0,3,0,0.0,true,1777872442653312094
1777872442767176219,true,false,3,0,0,0,3,0,0.0,true,1777872442752326752
1777872442867148676,true,false,3,0,0,0,3,0,0.0,true,1777872442853323065
1777872442967180078,true,false,3,0,0,0,3,0,0.0,true,1777872442953330800
1777872443067156628,true,false,3,0,0,0,3,0,0.0,true,1777872443052372440
1777872443167178031,true,false,3,0,0,0,3,0,0.0,true,1777872443154332273
1777872443267168136,true,false,3,0,0,0,3,0,0.0,true,1777872443253325395
1777872443367184742,true,false,3,0,0,0,3,0,0.0,true,1777872443352640443
1777872443467177996,true,false,3,0,0,0,3,0,0.0,true,1777872443453390680
1777872443567252361,true,false,3,0,0,0,3,0,0.0,true,1777872443553337564
1777872443667179911,true,false,3,0,0,0,3,0,0.0,true,1777872443652912094
1777872443767176128,true,false,3,0,0,0,3,0,0.0,true,1777872443752344884
1777872443867204067,true,false,3,0,0,0,3,0,0.0,true,1777872443853338770
1777872443967169987,true,false,3,0,0,0,3,0,0.0,true,1777872443953345079
1777872444067174760,true,false,3,0,0,0,3,0,0.0,true,1777872444052958313
1777872444167183328,true,false,3,0,0,0,3,0,0.0,true,1777872444153706940
1777872444267183804,true,false,3,0,0,0,3,0,0.0,true,1777872444253472934
1777872444367191688,true,false,3,0,0,0,3,0,0.0,true,1777872444353244002
1777872444467191886,true,false,3,0,0,0,3,0,0.0,true,1777872444452993699
1777872444567194418,true,false,3,0,0,0,3,0,0.0,true,1777872444553767381
1777872444667192449,true,false,3,0,0,0,3,0,0.0,true,1777872444653352708
1777872444767185833,true,false,3,0,0,0,3,0,0.0,true,1777872444752348533
1777872444867209031,true,false,3,0,0,0,3,0,0.0,true,1777872444853353549
1777872444967184804,true,false,3,0,0,0,3,0,0.0,true,1777872444953349895
1777872445067194131,true,false,3,0,0,0,3,0,0.0,true,1777872445052546092
